No.,Twitter,artist,music
11,http://twitter.com/tydollasign,Ty Dolla $ign,Stand For
12,http://twitter.com/ToriKelly,Tori Kelly,Hollow
13,http://twitter.com/ShawnMendes,Shawn Mendes,I Know What You Did Last Summer (feat. Camila Cabello)
14,http://twitter.com/Drake,Drake,Back To Back Freestyle
15,http://twitter.com/coldplay,Coldplay,Hymn for the Weekend (feat. Beyonc¨¦)
16,http://twitter.com/PTXofficial,Pentatonix,That's Christmas To Me
17,http://twitter.com/ElleKingMusic,Elle King,Ex's & Oh's
18,http://twitter.com/ArianaGrande,Ariana Grande,Santa Tell Me
19,http://twitter.com/robinthicke,Robin Thicke,Back Together (feat. Nicki Minaj)
20,http://twitter.com/NICKIMINAJ,Nicki Minaj,Only
21,http://twitter.com/LanaDelRey,Lana Del Rey,Music To Watch Boys To
22,http://twitter.com/GrangerSmith,Granger Smith,Backroad Song
23,http://twitter.com/onedirection,One Direction,18
24,http://twitter.com/tydollasign,Ty Dolla $ign,Saved
25,http://twitter.com/foofighters,Foo Fighters,Saint Cecilia
26,http://twitter.com/TripLee,Trip Lee,Manolo
27,http://twitter.com/EricBellinger,Eric Bellinger,Valet
28,http://twitter.com/weareGTA,GTA,Red Lips
29,http://twitter.com/Drake,Drake,Star67
30,http://twitter.com/MonicaBrown,Monica,Just Right For Me (feat. Lil Wayne)
