No_,Twitter,artist,music
11,http://twitter.com/MacoMattox7,OG Maco,U Guessed It
12,http://twitter.com/selenagomez,Selena Gomez,Hands To Myself
13,http://twitter.com/Madonna,Madonna,Bitch I'm Madonna
14,http://twitter.com/tydollasign,Ty Dolla $ign,Blas¨¦ (feat. Future & Rae Sremmurd)
15,http://twitter.com/tydollasign,Ty Dolla $ign,Stand For
16,http://twitter.com/TripLee,Trip Lee,Manolo
17,http://twitter.com/PTXofficial,Pentatonix,"Mary, Did You Know?"
18,http://twitter.com/ToriKelly,Tori Kelly,Hollow
19,http://twitter.com/tydollasign,Ty Dolla $ign,Saved
20,http://twitter.com/LanaDelRey,Lana Del Rey,Music To Watch Boys To
21,http://twitter.com/RealMichelleW,Michelle Williams,Believe In Me
22,http://twitter.com/PTXofficial,Pentatonix,That's Christmas To Me
23,http://twitter.com/TreySongz,Trey Songz,Nasty (feat. JR)
24,http://twitter.com/fettywap,Fetty Wap,Again
25,http://twitter.com/KipMooreMusic,Kip Moore,Wild Ones
26,http://twitter.com/onedirection,One Direction,18
27,http://twitter.com/ArianaGrande,Ariana Grande,Santa Tell Me
28,http://twitter.com/Drake,Drake,Back To Back Freestyle
29,http://twitter.com/madeon,Madeon,Nonsense
30,http://twitter.com/Tyga,Tyga,Make It Work
